street_marker,RequestTime,aim_marker
808,128.0,10808
809,128.0,10809
810,128.0,10810
811,129.0,10811
812,129.0,10812
813,129.0,10813
814,129.0,10814
815,129.0,10815
816,130.0,10816
817,130.0,10817
818,131.0,10818
819,131.0,10819
820,131.0,10820
821,131.0,10821
822,131.0,10822
823,132.0,10823
824,132.0,10824
825,132.0,10825
826,132.0,10826
827,132.0,10827
828,132.0,10828
829,132.0,10829
830,133.0,10830
831,133.0,10831
832,133.0,10832
833,133.0,10833
834,133.0,10834
835,133.0,10835
836,133.0,10836
837,133.0,10837
838,133.0,10838
839,133.0,10839
840,134.0,10840
841,134.0,10841
842,134.0,10842
843,134.0,10843
844,134.0,10844
845,134.0,10845
846,134.0,10846
847,134.0,10847
848,134.0,10848
849,134.0,10849
850,134.0,10850
851,134.0,10851
852,135.0,10852
853,135.0,10853
854,135.0,10854
855,135.0,10855
856,135.0,10856
857,136.0,10857
858,136.0,10858
859,136.0,10859
860,136.0,10860
861,136.0,10861
862,136.0,10862
863,136.0,10863
