street_marker,RequestTime,tripDistance,aim_marker,lon,lat
A399,64.0,1000.0,A10399,-73.93962860107422,40.79425430297852
A400,64.0,1600.0,A10400,-74.00557708740233,40.71796417236328
A401,64.0,990.0,A10401,-73.98438262939453,40.74333953857422
A402,64.0,4100.0,A10402,-73.96441650390625,40.760452270507805
A403,64.0,410.0,A10403,-74.00204467773438,40.73003768920898
A404,64.0,1850.0,A10404,-73.98989868164062,40.751270294189446
A405,65.0,2170.0,A10405,-74.00550079345702,40.740509033203125
A406,65.0,1130.0,A10406,-73.9945068359375,40.750686645507805
A407,66.0,1610.0,A10407,-73.96575927734375,40.75442886352539
A408,66.0,860.0,A10408,-73.99057006835938,40.75568008422852
A409,66.0,1200.0,A10409,-73.98220825195312,40.776870727539055
A410,66.0,800.0,A10410,-73.98401641845702,40.757911682128906
A411,66.0,1390.0,A10411,-73.99858856201173,40.71939849853516
A412,66.0,1700.0,A10412,-73.9998779296875,40.73877334594727
A413,67.0,430.0,A10413,-73.98865509033203,40.73643493652344
A414,67.0,800.0,A10414,-73.96709442138672,40.760566711425774
A415,67.0,1000.0,A10415,-74.00747680664062,40.74311065673828
